GS_ID,wFC,pFDR
WAG002605,1.4038,0.00073860493256288
WAG002607,2.4742,0.0076919879242834
WAG002608,1.434,1.2262439828189e-12
WAG002609,1.4005,0.002883882737163
WAG002723,1.4169,0.0028694258500687
WAG002724,4.9382,0.17511502804772
WAG002726,1.4237,0.007720580542698
WAG002727,1.7016,0.12622887769891
WAG002729,2.6005,0.0037867395262533
WAG002731,1.6108,2.6898305712238e-13
WAG002805,2.3113,2.9731706853536e-16
WAG002960,4.2872,0.29716784511195
WAG002962,1.5942,0.034907350523795
WAG002963,1.8049,0.024661640797774
WAG002964,1.543,0.015560105710212
WAG003041,1.2754,0.0032946376020439
WAG003042,1.8405,0.061822621354492
WAG003047,1.3867,1.0965631626205e-05
WAG002053,1.8907,1.1365981261266e-05
WAG002054,1.8066,0.025187977067966
WAG002055,2.0418,0.0030447351677087
WAG002121,1.7157,1.365873234725e-07
WAG002124,1.4463,0.00011208862066781
WAG002125,1.9015,5.292934321237e-10
WAG002179,1.8177,8.1536639751676e-12
WAG002181,1.2807,0.35476966060265
WAG002185,2.2882,4.5910266285622e-10
WAG002282,1.1811,0.0063613527304144
WAG002284,4.1908,0.00068405205320174
WAG002335,1.478,0.11800858250297
WAG002336,1.3275,0.00079391682527878
WAG002337,1.4158,1.5794350594331e-05
WAG002418,1.5097,2.1882700777134e-05
WAG002513,1.3302,2.7229182083573e-17
WAG002612,1.6129,0.026240406628801
WAG002613,1.4922,0.00017644640987834
WAG002614,1.5845,0.060662456061002
WAG002615,1.479,0.00068506187881787
WAG002616,2.5837,0.17709000956706
WAG002617,1.6819,0.0006156612035632
WAG002618,1.5515,0.00010613661295135
WAG002732,3.5071,8.8712798117666e-15
WAG002735,1.4937,0.00017242445734563
WAG002813,1.6838,0.17367590767992
WAG002815,1.8924,0.020503257693791
WAG002819,1.4678,4.5231935062924e-05
WAG002820,1.8512,8.426794272998e-10
WAG002965,1.3849,1.4326065860032e-06
WAG002968,2.279,3.5547678176698e-06
WAG003049,2.3177,4.4087256735807e-05
WAG003050,3.8673,3.0343176063442e-06
WAG003051,1.5015,3.4796957532019e-14
WAG001977,2.0647,0.10243453676321
WAG002056,2.4852,0.092643675774691
WAG002057,1.3259,5.5602211204628e-05
WAG002059,1.4365,0.054444494348924
WAG002128,2.8399,1.5630491195928e-05
WAG002130,1.4257,0.13801977024309
WAG002131,1.6713,3.3571656572678e-22
WAG002186,1.7709,5.8484429130357e-23
WAG002291,1.6667,4.549894356445e-08
WAG002338,1.3766,2.6862463893759e-05
WAG002339,1.8034,0.37788195397593
WAG002340,3.7706,1.8142790991895e-08
WAG002424,1.3108,0.00045400810652734
WAG002425,1.7906,0.062007166492864
WAG002426,1.4045,0.049679423929588
WAG002514,1.552,2.0320498597162e-10
WAG002621,1.4527,0.1336054389218
WAG002625,1.5983,0.17643168239395
WAG002626,1.4267,0.044158240121305
WAG002628,2.0947,3.8826089156323e-43
WAG002736,1.5066,9.7389464059695e-05
WAG002737,2.0108,0.41672096580483
WAG002740,1.5,0.34586082374489
WAG002821,1.4896,0.037877221831939
WAG002823,2.2988,0.005521731437527
WAG002824,1.8593,5.6762192105218e-12
WAG002969,1.7165,0.0027016766420546
WAG002970,2.1557,6.1729232612581e-11
WAG002971,1.9714,0.061187381265382
WAG003054,1.5753,1.8007951208334e-08
WAG003056,6.4819,0.32310177551044
WAG003057,3.7757,8.0567794864356e-07
WAG003059,1.6454,0.41915222778364
WAG001982,1.4563,0.0030427541328152
WAG001986,1.366,0.00017308508745041
WAG001987,1.4582,0.039903060078688
WAG001988,1.742,0.01560445908481
WAG002060,1.3463,0.45938207284344
WAG002061,1.8974,2.6038279975695e-14
WAG002062,1.7284,1.2611744893657e-07
WAG002063,1.8047,2.8633878218273e-12
WAG002190,2.0912,3.5086719253164e-07
WAG002191,5.422,0.41420846547638
WAG002193,1.6035,0.42109274735671
WAG002194,1.3992,0.00017275477239802
WAG002292,1.4505,0.42063383872319
WAG002345,2.2656,1.6414432027304e-05
WAG002347,3.736,0.16069653923658
WAG002350,1.6911,0.0058837586658014
WAG002427,1.8815,0.028196091226161
WAG002430,1.6147,3.3981100320711e-07
WAG002516,1.5773,0.49177816959005
WAG002517,1.6461,4.5312850868046e-05
WAG002522,1.667,5.0665661882453e-05
WAG002742,2.4493,0.4859098143723
WAG002825,1.4284,0.48939089692214
WAG002832,1.6758,3.5800143866582e-05
WAG002902,1.4916,1.4734284133656e-05
WAG002973,2.3507,3.3143771856671e-18
WAG003061,1.3993,0.2943538338478
WAG003063,3.791,2.6327316201036e-08
WAG003065,1.5831,0.12538170402307
WAG003066,2.5782,2.2371187274909e-30
WAG001996,1.523,1.3805847155831e-06
WAG002067,1.3148,7.6085378151617e-05
WAG002132,1.6192,7.6894947522137e-11
WAG002133,1.6183,3.724583775756e-43
WAG002195,1.4279,0.0015982670193781
WAG002197,2.1826,0.092059173088415
WAG002202,2.1361,0.31527532118031
WAG002203,1.696,0.039832229182419
WAG002295,1.4854,0.00017221903464755
WAG002296,1.3501,0.00042068503368188
WAG002297,1.5839,0.11839933939867
WAG002298,1.52,1.6095514372353e-08
WAG002354,2.6437,0.1692245650277
WAG002525,1.924,0.028122854625573
WAG002629,1.4968,0.042655683486937
WAG002632,3.4912,0.11156202999516
WAG002633,2.4067,0.00010593896562741
WAG002642,1.3692,0.31395617757705
WAG002645,1.4681,1.9965880630507e-08
WAG002752,1.6694,4.4165843646209e-05
WAG002753,4.295,0.20058296138953
WAG002754,1.4547,0.0015948880193372
WAG002834,3.4638,0.16875527185262
WAG002835,1.4465,0.0071653886622297
WAG002836,1.482,0.13391991685769
WAG002837,1.4161,0.0071437563046972
WAG002909,1.3225,0.029111450989239
WAG002978,2.5299,0.034814511825593
WAG002979,1.6994,0.068557502841598
WAG003068,1.6446,0.0049332137419928
WAG003069,1.7154,0.24107405231653
WAG003070,1.4648,0.40558876097155
WAG003071,1.5647,0.004137816297535
WAG003072,1.4629,0.40177894159817
WAG002000,2.4314,0.0020088685383737
WAG002001,1.526,0.010058485100127
WAG002002,1.5612,0.007697425951459
WAG002068,1.3694,2.9715322003369e-08
WAG002072,1.576,0.03992802803476
WAG002205,1.8065,0.10209978337509
WAG002206,1.4877,0.013778509934169
WAG002208,1.5592,0.00010216255650037
WAG002209,1.3741,0.068973002858819
WAG002212,1.8512,0.00011150713383933
WAG002215,1.3012,0.34912785485525
WAG002299,2.704,0.022556569444103
WAG002300,1.3018,0.0040578642844135
WAG002301,1.5093,7.656837268481e-08
WAG002359,2.8964,0.0059490381831475
WAG002360,1.2536,1.2452348193005e-05
WAG002363,1.222,6.9590574923251e-05
WAG002440,2.173,2.9430144013891e-05
WAG002441,1.5653,0.004147114761125
WAG002442,1.3344,0.0017583951534466
WAG002532,2.078,0.00011454473988543
WAG002840,1.3277,8.1646712187308e-05
WAG002841,2.0461,3.7392948490002e-05
WAG002915,1.4229,0.002707537111994
WAG002919,1.467,0.054479477817502
WAG002921,1.4439,0.39931364365674
WAG002980,1.4981,0.091766921745278
WAG002981,1.666,0.013744739076487
WAG002982,1.6617,0.0071485685010507
WAG002983,1.4095,0.015521685696112
WAG002985,1.5051,0.0092642161486413
WAG002989,2.8968,0.31790403841266
WAG003075,1.5249,0.0015091012274214
WAG003076,4.2847,4.4670309650907e-07
WAG003077,1.5759,0.41607573261925
WAG003078,1.6574,0.0001283532988563
WAG003079,1.3105,0.043580677214946
WAG003080,1.6137,3.4387210134244e-05
WAG002004,2.5694,0.0013458753495413
WAG002006,1.5741,4.1163576183637e-05
WAG002007,1.3507,0.00081743035099059
WAG002075,1.3882,0.094956696111249
WAG002077,2.5788,0.0077390508310776
WAG002079,1.5264,1.588568767054e-09
WAG002134,1.6776,1.4191638185634e-41
WAG002216,2.235,2.9324346667354e-07
WAG002218,1.4343,0.089290452516524
WAG002219,2.9309,6.4722563056217e-07
WAG002221,1.5858,2.5441188215986e-10
WAG002305,1.5596,0.00012859547489187
WAG002308,1.4612,0.0004280256511297
WAG002364,1.3283,1.2683615841861e-11
WAG002443,1.4855,0.41867740226401
WAG002444,1.8073,0.0012892256134044
WAG002445,3.2525,0.31925682155484
WAG002447,1.6185,0.23927849877008
WAG002448,1.8233,0.0015186525010126
WAG002534,1.9312,1.2024800666905e-05
WAG002535,4.8508,3.9595443838429e-06
WAG002536,3.9825,1.4909370043927e-07
WAG002537,2.9969,0.042132373088358
WAG002656,1.3888,4.1982631130213e-05
WAG002757,1.878,6.6756322161213e-11
WAG002759,1.4912,0.0063465932113183
WAG002844,2.4462,0.0067194391504107
WAG002846,1.2589,7.8973351462595e-08
WAG002849,1.4425,0.058240816329862
WAG002925,2.8147,8.4879454468544e-10
WAG002927,1.2187,0.068765252850208
WAG002928,2.4773,0.00195677084
WAG002929,1.5389,0.17303739331345
WAG002930,1.8119,6.3225557426872e-05
WAG002994,2.6142,1.6252413663062e-06
WAG002995,2.6142,1.6225986974179e-06
WAG002996,1.8121,3.0430081787868e-13
WAG002998,1.5713,0.00023857247724485
WAG003084,1.4423,0.24178522736721
WAG003088,1.7016,0.0026441646679868
WAG003091,1.6371,0.12644556481101
WAG002019,1.4507,0.34735805674812
WAG002085,1.5443,0.042079879152779
WAG002135,2.1039,3.7479483577742e-15
WAG002225,1.3972,0.039723099787399
WAG002226,1.9351,0.017852125982763
WAG002227,1.7042,1.9229098047754e-09
WAG002229,1.7517,0.15909698318748
WAG002233,1.4172,1.0545132746525e-08
WAG002309,1.3251,5.8419395305079e-06
WAG002310,1.3488,0.00017189162203415
WAG002365,1.377,0.26143681843591
WAG002366,1.5689,1.1112823602943e-05
WAG002367,2.1344,0.22585890632224
WAG002369,2.2772,0.24409594403641
WAG002370,1.9748,0.05456027816883
WAG002450,1.8042,0.0077102153838196
WAG002453,1.8278,0.16639022696301
WAG002454,1.708,0.00090808201496397
WAG002457,1.5845,0.0055025576667759
WAG002544,1.7931,5.3967893236365e-05
WAG002545,1.4526,0.071895117888688
WAG002548,3.0312,9.7066883732517e-07
WAG002549,1.2258,0.058411610512647
WAG002659,2.5424,6.3057605582552e-20
WAG002762,1.2985,4.5077324537186e-08
WAG002851,1.5752,0.0054900518538969
WAG002854,1.6399,9.4423059058307e-07
WAG002931,1.9367,0.016356731255429
WAG002933,1.8272,0.022234394897345
WAG002936,2.0261,0.0076737604647472
WAG002938,1.5679,0.016315941401924
WAG002939,1.8343,0.0080211241807187
WAG002940,1.4916,0.0043336080324992
WAG002941,1.7985,0.28387162140756
WAG002999,1.4181,0.0003834978799177
WAG003001,2.1566,7.3394525490614e-12
WAG003093,1.5882,0.1590049967183
WAG003097,1.5537,0.2431311379335
WAG003098,1.8711,0.0023928560676404
WAG003100,1.6346,0.41028231888419
WAG002021,2.2222,0.061785192533831
WAG002022,1.9657,9.2746947020164e-05
WAG002023,1.3583,1.0630810355058e-06
WAG002089,1.3694,0.015872723040308
WAG002139,1.5222,0.00052570085489254
WAG002234,1.723,0.00099701710737565
WAG002312,1.3954,0.061368946194953
WAG002314,1.5831,3.0637952149327e-05
WAG002316,1.4414,0.20713963660953
WAG002378,2.3629,2.0746998976588e-07
WAG002462,2.0963,0.042776521117211
WAG002466,1.4095,4.8167173266784e-06
WAG002554,1.9079,4.3324495073836e-16
WAG002557,1.7809,0.072719567436089
WAG002558,2.4542,0.17774833674017
WAG002561,1.6272,0.0015154687431489
WAG002562,8.0953,0.022348125817536
WAG002563,4.9194,0.022498732086554
WAG002662,1.7799,0.13041037200075
WAG002663,1.3062,0.45717350518554
WAG002665,1.8141,0.17604869179613
WAG002666,1.6347,1.5887951460999e-05
WAG002858,1.9501,0.13314631370213
WAG002859,1.3577,0.035000189221996
WAG002860,1.4574,9.9021546377179e-05
WAG002861,1.928,0.00030766363634947
WAG002862,1.8354,3.4582370151515e-07
WAG002866,1.7891,0.16013269173049
WAG002868,1.4973,1.4181669546688e-05
WAG002946,2.5079,0.00024623182651614
WAG002948,2.6488,0.15956884422439
WAG002949,1.9114,0.0015122849852851
WAG002950,1.4285,0.00032016372702903
WAG003002,2.1228,1.2674418588839e-10
WAG003005,1.6025,1.693416060463e-12
WAG002093,3.1242,3.642712508217e-15
WAG002142,1.3587,0.0020791704269352
WAG002143,1.4297,3.8513894337952e-08
WAG002236,1.634,0.2682803458601
WAG002237,1.5174,0.039817729614774
WAG002239,1.3129,0.00038378049429523
WAG002317,1.438,0.089012289113046
WAG002380,1.5989,4.8236066055128e-15
WAG002565,1.7474,2.8768766716088e-05
WAG002670,1.445,0.00047199074610607
WAG002671,2.6624,0.02229126035744
WAG002672,1.5077,0.00039689654938876
WAG002870,1.7049,0.041897652346918
WAG002871,1.4867,0.0011316395572154
WAG003006,1.851,0.00051600240259574
WAG003007,2.1054,0.0039520158796311
WAG002027,1.4788,5.8388920052647e-08
WAG002094,1.5593,0.00041460455050994
WAG002095,1.2874,2.5635652038252e-05
WAG002145,1.6328,5.4904358753405e-06
WAG002146,1.5674,1.6452620243122e-10
WAG002147,1.4371,0.00081302994676283
WAG002148,1.4963,0.07294401054546
WAG002149,1.6429,1.0655822165974e-11
WAG002241,1.5609,0.09623368794441
WAG002242,1.4361,0.41224539218028
WAG002243,4.9255,0.26719857027195
WAG002244,2.4087,0.080225373606543
WAG002246,1.5702,0.037413141312981
WAG002322,2.6139,1.8629640815067e-08
WAG002323,1.481,0.15853080175265
WAG002325,1.488,5.2527732607695e-06
WAG002326,1.3163,0.26611679468381
WAG002327,1.3733,0.20134854521163
WAG002381,1.5033,1.2431098452061e-05
WAG002384,2.0262,1.2881888251018e-10
WAG002477,6.558,0.00024670994656763
WAG002478,1.4941,0.00015584140847643
WAG002680,5.4629,0.17577335522084
WAG002683,1.6346,3.6890764156913e-05
WAG002771,3.7424,1.5459471421862e-08
WAG002873,2.3172,0.004674950496543
WAG002874,1.7689,5.9114903575735e-09
WAG002876,1.4929,1.6014108536817e-13
WAG003008,1.4292,0.0032151484489579
WAG003011,4.476,6.9076988934886e-05
WAG003015,1.4603,6.7600557210497e-06
WAG002030,1.4235,6.8224699316098e-08
WAG002031,2.1451,9.4574620950856e-07
WAG002032,2.1753,4.0419864002723e-06
WAG002096,1.8141,2.1638474647522e-06
WAG002097,1.3218,0.35632566788599
WAG002098,1.6387,0.40291106386986
WAG002099,1.5613,1.8878926315916e-06
WAG002100,1.6121,0.010353879788743
WAG002101,1.4233,3.4447644598452e-05
WAG002102,1.3791,6.6862475742721e-08
WAG002152,1.227,0.0015014132651817
WAG002248,1.41,0.029921579756698
WAG002253,1.3996,0.00026191405887919
WAG002481,1.5552,6.7828552344428e-06
WAG002483,1.4558,7.2656417294249e-12
WAG002484,1.7868,3.2871940260312e-07
WAG002581,1.4652,0.094650384188309
WAG002584,1.36,0.2955701720042
WAG002689,1.3967,0.13754219318343
WAG002694,1.6064,7.0608856018007e-06
WAG002696,3.251,6.7714554777462e-06
WAG002700,1.3919,3.5677327368636e-06
WAG002775,1.5048,0.095809998671247
WAG002776,1.8281,0.028049618024986
WAG002778,1.6184,0.035093027920198
WAG002780,2.5397,0.00029513142396451
WAG002781,1.3134,1.1430113391756e-07
WAG002877,1.4605,0.039613970392379
WAG002878,2.5733,1.3443505010558e-06
WAG002879,1.5897,9.1647855684588e-23
WAG003020,1.3374,0.038608901165671
WAG003021,1.4464,0.038503985673373
WAG003022,1.8422,0.224990218221
WAG003023,1.8453,0.28271296172835
WAG003024,3.8673,3.0393330073464e-06
WAG002034,1.4095,0.00090744594472677
WAG002037,2.6687,0.0058679910247035
WAG002153,1.4973,0.028742407575535
WAG002155,2.7346,7.1708656112291e-10
WAG002156,1.6666,0.42303326692978
WAG002158,1.616,0.001106714028567
WAG002254,1.2289,0.0037951358444933
WAG002392,1.4538,0.020555164675295
WAG002393,2.5899,2.1418897133226e-19
WAG002487,1.91,0.0011339922382076
WAG002585,1.3461,0.049537482718361
WAG002587,2.7203,1.5251889398343e-10
WAG002588,2.4764,8.9405345450868e-08
WAG002589,4.9398,0.050469198282857
WAG002702,2.6831,3.5526787452326e-11
WAG002783,1.4558,7.2551875686631e-12
WAG002882,1.2929,0.00022794675945299
WAG002888,1.2869,0.13706461612377
WAG003027,1.4311,0.016343223783536
WAG003031,3.0162,3.6932203868481e-18
WAG002104,2.2818,6.8508725762392e-09
WAG002161,1.678,1.8352142725258e-06
WAG002162,1.4249,2.1920625735153e-05
WAG002163,2.5342,3.0691608808082e-05
WAG002258,3.0807,0.00048788683781785
WAG002260,2.4137,0.00014916740668157
WAG002395,2.1356,0.00036640916915293
WAG002396,2.1464,5.4064957792545e-05
WAG002399,1.5569,0.0069390108558489
WAG002400,3.7344,0.050614642658312
WAG002404,1.4253,0.40360520951453
WAG002493,1.5791,0.12665246453682
WAG002712,1.5765,0.24201944075698
WAG002786,1.3515,0.00068267012986194
WAG002787,2.0,0.095503896439071
WAG002890,1.3931,0.13346285229503
WAG003032,2.301,6.1655188224464e-26
WAG002164,1.4867,0.0375137142735
WAG002165,3.9518,0.092351424431553
WAG002170,1.4018,2.9550649934168e-07
WAG002171,1.5783,4.9041397936546e-10
WAG002267,3.2569,4.7433821116874e-06
WAG002269,2.3604,0.052937427161102
WAG002270,1.6731,0.4011123537633
WAG002409,1.6095,2.1719128246965e-06
WAG002495,1.631,0.16936892738663
WAG002596,1.7945,2.100706729037e-29
WAG002718,1.6066,2.2833086857094e-27
WAG002789,2.9459,9.6910827649346e-07
WAG002791,1.1652,0.16860695712614
WAG002792,1.6009,5.3870828680184e-05
WAG002797,3.0522,8.8878137822781e-11
WAG003033,2.5764,0.11767468839652
WAG003034,3.1391,0.080138634907276
WAG002048,1.3662,1.599194816175e-16
WAG002111,1.6794,0.010801685532044
WAG002112,1.8627,0.0029452337294333
WAG002172,1.5554,7.1923196250657e-10
WAG002173,2.9885,0.0040790983280976
WAG002174,1.3869,0.32448847840963
WAG002273,1.4547,6.9202355520975e-05
WAG002274,1.9878,8.5228293389932e-05
WAG002328,2.1173,0.008007372416137
WAG002329,2.8956,0.00014888542670675
WAG002331,3.1124,0.072114980634525
WAG002414,2.2548,1.6539639989085e-10
WAG002501,1.5903,0.037979592701756
WAG002719,1.3434,0.0041084633302061
WAG002798,1.7357,0.028667165670887
WAG002801,1.3442,0.042015012717638
WAG002804,5.3483,1.346437185189e-06
WAG003035,2.8089,0.48700362425423
WAG003036,1.3924,0.12580529086099
WAG003039,0.3681,0.1657938462212
WAG003040,2.352,0.0080018888709328
WAG002115,1.6741,0.13085394469463
WAG002117,2.5432,0.00024718806661912
WAG002118,1.637,1.7673979116844e-09
WAG002120,1.3998,0.26248676549791
WAG002177,1.4921,9.2576142329519e-05
WAG002178,1.3868,0.00057566922078258
WAG002278,1.487,0.019387084752577
WAG002280,1.1823,0.0026498756067946
WAG003103,1.3851,0.0001112987092901
WAG003106,3.3978,0.068349752832987
WAG003196,4.2264,2.982139657643e-06
WAG003198,2.4418,0.060484037072587
WAG003202,1.6999,0.014947889829473
WAG003295,1.5941,1.0975836230372e-05
WAG003297,1.6526,0.00010458546942097
WAG003203,1.5066,0.041780291976199
WAG003204,1.7319,0.021380852404575
WAG003207,5.2457,0.19657816857565
WAG003210,2.3245,1.3781294585652e-15
WAG003302,1.728,0.071675255142851
WAG003305,1.5393,2.6249850284476e-07
WAG003308,2.749,0.13829461544878
WAG003212,2.2273,3.9333918015878e-30
WAG003213,4.2468,0.037774850962123
WAG003215,2.0378,2.9772348226798e-06
WAG003217,1.1471,0.039707431194789
WAG003218,2.1759,5.4903207217668e-09
WAG003219,3.556,2.3227738808585e-11
WAG003222,2.9032,0.036099491081543
WAG003224,1.7136,3.2111585390368e-09
WAG003236,1.7144,0.0058702638064762
WAG003238,2.0996,2.0515119538315e-12
WAG003113,1.5241,0.0057901143666069
WAG003116,1.5263,0.0043238476540477
WAG003117,1.9189,0.091771620449487
WAG003118,2.282,2.9278093754629e-07
WAG003244,1.7849,0.49436165003779
WAG003122,5.9699,0.40379412043628
WAG003123,1.3844,8.2785820303005e-05
WAG003247,1.6429,1.6448323567092e-17
WAG003129,1.4019,0.0021344934418466
WAG003130,2.126,0.00071641710385762
WAG003134,1.6183,0.0022281811956481
WAG003137,1.7265,0.1651974654794
WAG003248,1.9095,1.0135273604132e-07
WAG003257,10.7643,0.31263703397378
WAG003259,1.3886,0.0004130101470384
WAG003264,2.2415,2.9497296717026e-06
WAG003147,1.4304,0.39995267368182
WAG003265,2.1277,6.1900241932313e-09
WAG003269,2.4067,7.9449535581622e-05
WAG003270,1.5545,1.5048748951253e-07
WAG003151,1.8764,0.24216633183059
WAG003152,1.6831,0.0030360814263836
WAG003160,4.4422,3.5795780332382e-05
WAG003273,1.562,0.095894162438172
WAG003275,1.2324,0.00018576801043178
WAG003276,2.1053,1.6442164599697e-13
WAG003165,2.8182,0.01105785662354
WAG003167,1.4296,0.24012866387607
WAG003277,1.8657,0.095197794206894
WAG003280,1.4307,7.446231242079e-05
WAG003283,1.7929,2.4736592726106e-07
WAG003170,1.4183,0.066416891812345
WAG003171,1.3137,0.30073510128156
WAG003172,1.3747,0.010802542609802
WAG003173,2.2599,0.49933010883214
WAG003183,1.6808,0.49684587943496
WAG003186,1.6488,0.00068128820652214
WAG003189,2.2796,0.0067037761220881
WAG003190,1.5923,0.091483935118925
WAG003192,2.2962,0.0058544703080567
WAG003294,2.4622,7.0391328269619e-15
